ESPORTS% 112061
JUSTÍCIA I ORDRE  PÚBLIC% 43749
POLÍTICA% 36897
SOCIETAT% 26219
ACCIDENTS I CATÀSTROFES% 22468
MEDICINA I SANITAT% 16158
FESTES I TRADICIONS% 14700
ECONOMIA, COMERÇ I FINANCES% 13594
MEDI AMBIENT% 8975
TRANSPORTS I COMUNICACIONS% 8925
AGRICULTURA, RAMADERIA I PESCA% 8879
FENÒMENS NATURALS% 8626
TERRORISME% 6253
CONFLICTES ARMATS% 6247
CULTURA% 5341
MÚSICA% 4962
TURISME% 4757
TREBALL% 4625
URBANISME I HABITATGE% 4541
CINEMA% 4295
OBRES PÚBLIQUES I INFRAESTRUCTURES% 4114
ENSENYAMENT% 3970
ARTS% 3915
RELACIONS INTERNACIONALS% 3375
CIÈNCIA I INVESTIGACIÓ% 3336
RELIGIÓ% 3090
ESPECTACLES% 2678
MITJANS DE COMUNICACIÓ% 2558
INDÚSTRIA% 2277
ENERGIA% 1437
DEFENSA% 1301
GASTRONOMIA% 1119
HISTÒRIA% 800
LITERATURA% 777
MISCEL·LÀNIA% 278
ACTUALITAT ROSA% 194
RECURSOS TERRITORIALS% 185
TAUROMÀQUIA% 128
