ESPORTS% 112027
JUSTÍCIA I ORDRE  PÚBLIC% 43736
POLÍTICA% 36873
SOCIETAT% 26215
ACCIDENTS I CATÀSTROFES% 22468
MEDICINA I SANITAT% 16148
FESTES I TRADICIONS% 14697
ECONOMIA, COMERÇ I FINANCES% 13584
MEDI AMBIENT% 8971
TRANSPORTS I COMUNICACIONS% 8925
AGRICULTURA, RAMADERIA I PESCA% 8876
FENÒMENS NATURALS% 8624
TERRORISME% 6252
CONFLICTES ARMATS% 6245
CULTURA% 5342
MÚSICA% 4959
TURISME% 4757
TREBALL% 4625
URBANISME I HABITATGE% 4538
CINEMA% 4295
OBRES PÚBLIQUES I INFRAESTRUCTURES% 4114
ENSENYAMENT% 3970
ARTS% 3916
RELACIONS INTERNACIONALS% 3375
CIÈNCIA I INVESTIGACIÓ% 3332
RELIGIÓ% 3090
ESPECTACLES% 2679
MITJANS DE COMUNICACIÓ% 2558
INDÚSTRIA% 2277
ENERGIA% 1437
DEFENSA% 1301
GASTRONOMIA% 1119
HISTÒRIA% 800
LITERATURA% 774
MISCEL·LÀNIA% 278
ACTUALITAT ROSA% 194
RECURSOS TERRITORIALS% 185
TAUROMÀQUIA% 128
