ESPORTS% 97644
JUSTÍCIA I ORDRE  PÚBLIC% 41834
POLÍTICA% 33213
SOCIETAT% 26307
ACCIDENTS I CATÀSTROFES% 22578
FESTES I TRADICIONS% 14333
MEDICINA I SANITAT% 13739
ECONOMIA, COMERÇ I FINANCES% 13699
FENÒMENS NATURALS% 8874
AGRICULTURA, RAMADERIA I PESCA% 8830
MEDI AMBIENT% 8802
TRANSPORTS I COMUNICACIONS% 8777
TERRORISME% 6871
CONFLICTES ARMATS% 6314
CULTURA% 5003
TURISME% 4643
MÚSICA% 4588
TREBALL% 4504
URBANISME I HABITATGE% 4466
OBRES PÚBLIQUES I INFRAESTRUCTURES% 4353
CINEMA% 4012
ENSENYAMENT% 3685
ARTS% 3673
RELIGIÓ% 3403
RELACIONS INTERNACIONALS% 3380
CIÈNCIA I INVESTIGACIÓ% 3357
ESPECTACLES% 2506
MITJANS DE COMUNICACIÓ% 2436
INDÚSTRIA% 2278
ENERGIA% 1584
DEFENSA% 1436
GASTRONOMIA% 1133
HISTÒRIA% 768
LITERATURA% 685
MISCEL·LÀNIA% 242
ACTUALITAT ROSA% 203
RECURSOS TERRITORIALS% 181
TAUROMÀQUIA% 154
